enhanced_path,lowlight_path,score
LEISD/BIMEFF/001.png,LEISD/refimgs/001.png,59.70404336
LEISD/BIMEFF/002.png,LEISD/refimgs/002.png,58.63227008
LEISD/BIMEFF/003.png,LEISD/refimgs/003.png,65.59865217
LEISD/BIMEFF/004.png,LEISD/refimgs/004.png,61.64781439
LEISD/BIMEFF/005.png,LEISD/refimgs/005.png,52.01075124
LEISD/BIMEFF/006.png,LEISD/refimgs/006.png,62.01446172
LEISD/BIMEFF/007.png,LEISD/refimgs/007.png,58.74153257
LEISD/BIMEFF/008.png,LEISD/refimgs/008.png,59.8055467
LEISD/BIMEFF/009.png,LEISD/refimgs/009.png,39.819395
LEISD/BIMEFF/010.png,LEISD/refimgs/010.png,43.57295422
LEISD/BIMEFF/011.png,LEISD/refimgs/011.png,79.69058098
LEISD/BIMEFF/012.png,LEISD/refimgs/012.png,63.43827838
LEISD/BIMEFF/013.png,LEISD/refimgs/013.png,69.25989945
LEISD/BIMEFF/014.png,LEISD/refimgs/014.png,47.58151333
LEISD/BIMEFF/015.png,LEISD/refimgs/015.png,57.67321002
LEISD/BIMEFF/016.png,LEISD/refimgs/016.png,41.80876789
LEISD/BIMEFF/017.png,LEISD/refimgs/017.png,53.7167979
LEISD/BIMEFF/018.png,LEISD/refimgs/018.png,59.70036288
LEISD/BIMEFF/019.png,LEISD/refimgs/019.png,66.36573194
LEISD/BIMEFF/020.png,LEISD/refimgs/020.png,57.65735528
LEISD/BIMEFF/021.png,LEISD/refimgs/021.png,55.26087091
LEISD/BIMEFF/022.png,LEISD/refimgs/022.png,59.73754815
LEISD/BIMEFF/023.png,LEISD/refimgs/023.png,69.14731818
LEISD/BIMEFF/024.png,LEISD/refimgs/024.png,59.36958481
LEISD/BIMEFF/025.png,LEISD/refimgs/025.png,68.04144207
LEISD/BIMEFF/026.png,LEISD/refimgs/026.png,71.4927966
LEISD/BIMEFF/027.png,LEISD/refimgs/027.png,51.95064861
LEISD/BIMEFF/028.png,LEISD/refimgs/028.png,57.68705179
LEISD/BIMEFF/029.png,LEISD/refimgs/029.png,65.23514755
LEISD/BIMEFF/030.png,LEISD/refimgs/030.png,58.83704982
LEISD/BIMEFF/031.png,LEISD/refimgs/031.png,65.74436628
LEISD/BIMEFF/032.png,LEISD/refimgs/032.png,62.80023744
LEISD/BIMEFF/033.png,LEISD/refimgs/033.png,59.62964831
LEISD/BIMEFF/034.png,LEISD/refimgs/034.png,60.06426348
LEISD/BIMEFF/035.png,LEISD/refimgs/035.png,57.80304385
LEISD/BIMEFF/036.png,LEISD/refimgs/036.png,67.63441306
LEISD/BIMEFF/037.png,LEISD/refimgs/037.png,60.66583657
LEISD/BIMEFF/038.png,LEISD/refimgs/038.png,67.18289519
LEISD/BIMEFF/039.png,LEISD/refimgs/039.png,74.36862472
LEISD/BIMEFF/040.png,LEISD/refimgs/040.png,62.59024251
LEISD/BIMEFF/041.png,LEISD/refimgs/041.png,41.36992088
LEISD/BIMEFF/042.png,LEISD/refimgs/042.png,41.26149817
LEISD/BIMEFF/043.png,LEISD/refimgs/043.png,57.03305593
LEISD/BIMEFF/044.png,LEISD/refimgs/044.png,67.48481713
LEISD/BIMEFF/045.png,LEISD/refimgs/045.png,55.33975675
LEISD/BIMEFF/046.png,LEISD/refimgs/046.png,54.10393702
LEISD/BIMEFF/047.png,LEISD/refimgs/047.png,60.2723706
LEISD/BIMEFF/048.png,LEISD/refimgs/048.png,47.71666568
LEISD/BIMEFF/049.png,LEISD/refimgs/049.png,52.61460236
LEISD/BIMEFF/050.png,LEISD/refimgs/050.png,40.76513527
LEISD/BIMEFF/051.png,LEISD/refimgs/051.png,38.09941182
LEISD/BIMEFF/052.png,LEISD/refimgs/052.png,53.75656582
LEISD/BIMEFF/053.png,LEISD/refimgs/053.png,39.10445947
LEISD/BIMEFF/054.png,LEISD/refimgs/054.png,52.69427451
LEISD/BIMEFF/055.png,LEISD/refimgs/055.png,66.37092387
LEISD/BIMEFF/056.png,LEISD/refimgs/056.png,63.47370353
LEISD/BIMEFF/057.png,LEISD/refimgs/057.png,70.39262022
LEISD/BIMEFF/058.png,LEISD/refimgs/058.png,72.61945606
LEISD/BIMEFF/059.png,LEISD/refimgs/059.png,46.64481154
LEISD/BIMEFF/060.png,LEISD/refimgs/060.png,59.75030118
LEISD/BIMEFF/061.png,LEISD/refimgs/061.png,44.93737696
LEISD/BIMEFF/062.png,LEISD/refimgs/062.png,66.98791171
LEISD/BIMEFF/063.png,LEISD/refimgs/063.png,65.53112137
LEISD/BIMEFF/064.png,LEISD/refimgs/064.png,52.64405446
LEISD/BIMEFF/065.png,LEISD/refimgs/065.png,59.73441005
LEISD/BIMEFF/066.png,LEISD/refimgs/066.png,57.20752542
LEISD/BIMEFF/067.png,LEISD/refimgs/067.png,40.41054268
LEISD/BIMEFF/068.png,LEISD/refimgs/068.png,54.20636085
LEISD/BIMEFF/069.png,LEISD/refimgs/069.png,46.72396921
LEISD/BIMEFF/070.png,LEISD/refimgs/070.png,54.17555561
LEISD/BIMEFF/071.png,LEISD/refimgs/071.png,53.14145049
LEISD/BIMEFF/072.png,LEISD/refimgs/072.png,66.70978152
LEISD/BIMEFF/073.png,LEISD/refimgs/073.png,43.39972998
LEISD/BIMEFF/074.png,LEISD/refimgs/074.png,60.9644421
LEISD/BIMEFF/075.png,LEISD/refimgs/075.png,44.64280482
LEISD/BIMEFF/076.png,LEISD/refimgs/076.png,58.84228957
LEISD/BIMEFF/077.png,LEISD/refimgs/077.png,45.29946193
LEISD/BIMEFF/078.png,LEISD/refimgs/078.png,54.84895695
LEISD/BIMEFF/079.png,LEISD/refimgs/079.png,42.76161549
LEISD/BIMEFF/080.png,LEISD/refimgs/080.png,40.08172255
